Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),Phasor-3 Name(upto 16-char),Phasor-3 Type(v/c),Phasor-3 PHNMR(scaling),Phasor-4 Name(upto 16-char),Phasor-4 Type(v/c),Phasor-4 PHNMR(scaling),Phasor-5 Name(upto 16-char),Phasor-5 Type(v/c),Phasor-5 PHNMR(scaling),Phasor-6 Name(upto 16-char),Phasor-6 Type(v/c),Phasor-6 PHNMR(scaling),Phasor-7 Name(upto 16-char),Phasor-7 Type(v/c),Phasor-7 PHNMR(scaling),Phasor-8 Name(upto 16-char),Phasor-8 Type(v/c),Phasor-8 PHNMR(scaling),
Configuration Field Inputs,50,50,8,0,0,15,V1,v,10000,I2,c,100,I3,c,100,I4,c,100,I5,c,100,I6,c,100,I7,c,100,I8,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Phasor-3 Magnitude,Phasor-3 Angle,Phasor-4 Magnitude,Phasor-4 Angle,Phasor-5 Magnitude,Phasor-5 Angle,Phasor-6 Magnitude,Phasor-6 Angle,Phasor-7 Magnitude,Phasor-7 Angle,Phasor-8 Magnitude,Phasor-8 Angle,Frequency,ROCOF,
 ,3.76,1.04405919426,4.00900396237,0.210335371589,-26.1236812146,0.396981809826,175.96859317,0.0308699747422,-55.8268209299,0.248618292321,156.214443318,0.931990579738,86.2898495349,1.50036194251,-150.137367073,12.8605291766,-178.990151876,49.9828481356,-0.000976740613394,
 ,3.78,1.04406576111,4.13074264819,0.206474815213,-25.904497782,0.394550453871,175.993527092,0.0423513236982,-40.8170931149,0.241362879528,155.762478578,0.93260094674,86.7930867027,1.54898753478,-151.563489854,12.7837676121,-178.923634941,49.9830123644,-0.00119539032797,
 ,3.8,1.0440724912,4.25105418155,0.202727444073,-25.6901780516,0.392285679475,176.023278216,0.055236124318,-32.6105367692,0.234335939009,155.293013689,0.933326414114,87.3628926107,1.60095971691,-152.947919671,12.7083714616,-178.857523425,49.9831990557,-0.00138738374945,
 ,3.82,1.04407936081,4.36981463615,0.199107578865,-25.4811754841,0.390194761175,176.058129514,0.0685663569298,-27.6258380772,0.227650834783,154.816453264,0.934200529545,88.0061676267,1.65594433235,-154.277126442,12.6344710589,-178.791893962,49.983404706,-0.00155193183973,
 ,3.84,1.04408634135,4.48692543615,0.195627946295,-25.2778700317,0.388283819891,176.098340522,0.0819708526394,-24.3199396454,0.221418198445,154.345588405,0.935262334631,88.728028812,1.71352593526,-155.540136644,12.5621854239,-178.726803602,49.9836258035,-0.00168872721161,
 ,3.86,1.0440934,4.60231278957,0.192299513426,-25.080565993,0.386557812209,176.144143426,0.0952794847823,-21.978679515,0.215744492522,153.895567473,0.936556039643,89.5316594621,1.7732179868,-156.728614126,12.4916236727,-178.662287826,49.9838588859,-0.00179792925559,
 ,3.88,1.04410050045,4.71592674294,0.1891313647,-24.8894915684,0.385020534516,176.195739617,0.108402188043,-20.236870611,0.210730740623,153.483627073,0.938130126525,90.418195914,1.83447519931,-157.836761459,12.4228865815,-178.598358833,49.9841005949,-0.00188014050686,
 ,3.9,1.04410760369,4.82773989298,0.186130624493,-24.7048000638,0.383674641373,176.253296825,0.121285688373,-18.8910091466,0.206471483643,153.128523631,0.940035824886,91.386657749,1.89670727997,-158.86109129,12.3560682491,-178.53500415,49.9843477257,-0.00193637494067,
 ,3.92,1.04411466878,4.93774579713,0.183302426851,-24.5265726396,0.382521677235,176.316946894,0.133895724433,-17.8195277806,0.20305400104,152.849635875,0.942324963907,92.4339279519,1.95929338845,-159.800117678,12.2912577997,-178.472185619,49.9845972717,-0.00196801905488,
 ,3.94,1.0441216536,5.0459571293,0.180649932863,-24.3548224591,0.381562120432,176.386784265,0.146208799692,-16.9456215081,0.200557799506,152.66575965,0.94504726715,93.5547893464,2.02159672412,-160.654011193,12.2285410668,-178.409838787,49.9848464625,-0.00197678675022,
